Id,Cost For 2
20002,1000
20012,500
20022,500
20028,-
20029,-
20035,600
20036,600
20044,400
20059,800
20060,350
20061,800
20062,-
20063,900
20065,500
20070,550
20071,550
20072,700
20073,550
20074,550
20075,550
20079,400
20083,450
20085,500
20090,650
20127,-
20132,400
20137,600
20138,450
20141,450
20147,600
20149,650
20169,700
20172,700
20177,700
20193,1600
20235,900
20240,1100
20246,400
20273,450
20274,800
20279,250
20283,800
20286,1000
20287,500
20288,500
20292,500
20293,600
20299,1000
20307,500
20320,-
20322,-
20348,800
20350,1100
20356,450
20363,750
20384,550
20393,750
20397,400
20404,1200
20407,900
20412,250
20414,200
20420,500
20453,900
20456,1100
20458,800
20464,500
20468,550
20472,500
20477,700
20478,700
20495,750
20496,750
20499,1000
20506,600
20510,550
20518,900
20520,1500
20522,300
20529,-
20543,600
20563,750
20600,2200
20601,400
20602,400
20606,550
20607,550
20608,550
20611,500
20612,300
20613,500
20615,150
20618,700
20618,700
20619,1000
20621,900
20622,900
20625,400
20628,700
20629,700
20633,200
20636,200
20637,350
20638,500
20640,400
20641,250
20644,300
20646,600
20647,1000
20648,450
20650,600
20652,600
20653,500
20655,350
20657,900
20658,400
20661,450
20662,300
20665,150
20670,600
20671,450
20672,500
20673,-
20675,500
20677,500
20678,-
20679,400
20681,750
20682,500
20685,600
20687,400
20688,400
20691,450
20692,600
20693,500
20694,-
20698,600
20700,600
20702,650
20703,450
20705,500
20706,400
20708,700
20709,600
20710,600
20712,1100
20717,250
20719,450
20720,850
20721,250
20722,250
20723,150
20725,600
20727,350
20728,500
20729,500
20730,500
20731,500
20734,500
20735,350
20737,500
20740,250
20744,500
20746,200
20747,850
20753,900
20754,450
20755,500
20756,-
20759,200
20761,250
20762,-
20763,450
20765,400
20768,350
20769,-
20770,-
20775,600
20776,200
20778,400
20779,300
20780,350
20782,900
20783,300
20784,300
20785,300
20786,400
20787,300
20789,350
20791,700
20793,350
20794,450
20795,700
20796,700
20797,700
20801,-
20802,250
20803,250
20807,350
20809,250
20810,500
20813,300
20816,550
20817,350
20818,200
20819,350
20826,450
20827,400
20828,600
20829,300
20830,800
20833,1400
20834,600
20838,250
20841,1600
20842,1400
20843,-
20844,800
20847,500
20848,4000
20849,1500
20850,3000
20851,900
20852,1800
20855,1100
