Id,Cuisine
20002,Bengali
20012,"Mughlai, North Indian, Chinese"
20022,"Chinese, Lebanese"
20028,"North Indian, Chinese"
20029,"North Indian, Chinese"
20035,"North Indian, Street Food"
20036,"North Indian, Street Food, Rolls"
20044,South Indian
20059,"Chinese, North Indian, Mughlai, Biryani"
20060,"Fast Food, North Indian, Chinese, Rolls"
20061,"Chinese, North Indian, Mughlai, Biryani"
20062,"Chinese, Tibetan"
20063,"North Indian, Thai, Continental"
20065,"Chinese, North Indian, Bengali, Biryani"
20070,Bengali
20071,Bengali
20072,Bengali
20073,Bengali
20074,Bengali
20075,Bengali
20079,"Chinese, Seafood, Bengali"
20083,"Chinese, Seafood"
20085,Chinese
20090,"North Indian, Chinese, South Indian, Fast Food, Juices"
20127,"Chinese, Thai"
20132,Chinese
20137,"Chinese, North Indian, Continental"
20138,"Chinese, North Indian"
20141,"Chinese, North Indian"
20147,"Chinese, Tibetan"
20149,"Chinese, Thai, Tibetan"
20169,"Pizza, Fast Food"
20172,"Pizza, Fast Food"
20177,"Chinese, North Indian, Fast Food"
20193,"Pizza, Italian, Salad"
20235,Chinese
20240,"Chinese, North Indian, Seafood"
20246,"Chinese, North Indian"
20273,"North Indian, Chinese"
20274,"Italian, Mexican, Continental, Salad"
20279,South Indian
20283,"North Indian, Chinese"
20286,Bengali
20287,"Burger, Fast Food"
20288,"Burger, Fast Food"
20292,"Chinese, North Indian, Fast Food"
20293,Chinese
20299,"Bengali, Continental, North Indian, Chinese, Asian"
20307,Chinese
20320,Chinese
20322,Italian
20348,"North Indian, Chinese"
20350,Continental
20356,"Chinese, North Indian"
20363,"Chinese, Thai, Tibetan"
20384,"Chinese, North Indian"
20393,"Chinese, Continental, North Indian, Kebab"
20397,"Chinese, North Indian"
20404,"Continental, North Indian"
20407,"Pizza, Italian"
20412,"Bengali, North Indian"
20414,"North Indian, Mughlai"
20420,"Mughlai, Biryani"
20453,"North Indian, Chinese"
20456,"Fast Food, Chinese, South Indian, Continental, North Indian, Desserts, Momos"
20458,"North Indian, Chinese"
20464,"North Indian, Chinese, Rolls"
20468,"Biryani, Mughlai, North Indian"
20472,Bengali
20477,"Chinese, North Indian, Bengali"
20478,"Chinese, North Indian"
20495,"Chinese, North Indian"
20496,"Chinese, North Indian"
20499,"Chinese, Continental, North Indian, Mughlai"
20506,"Chinese, Continental, North Indian"
20510,"Chinese, North Indian, Bengali, Rolls"
20518,"North Indian, Chinese"
20520,"Italian, North Indian, Chinese, Seafood, Asian"
20522,North Indian
20529,"Rajasthani, North Indian, Chinese, Continental, Italian, Mexican"
20543,"North Indian, South Indian, Fast Food"
20563,"Chinese, North Indian, Biryani"
20600,North Indian
20601,"Biryani, Rolls, Chinese"
20602,"North Indian, Biryani, Rolls, Chinese"
20606,Rolls
20607,"North Indian, Chinese"
20608,"North Indian, Chinese"
20611,"Biryani, Chinese, Indian, Fast Food, Hyderabadi, North Indian, Rolls, Kebab"
20612,"North Indian, Chinese"
20613,"Chinese, North Indian"
20615,"Bakery, Desserts, Fast Food"
20618,"Chinese, Italian, Mexican, Continental"
20618,"Chinese, Italian, Mexican, Continental"
20619,"Continental, Mexican, Italian, Chinese, Bakery"
20621,"Chinese, Asian, North Indian, Continental"
20622,"Chinese, Asian, North Indian, Continental, Nepalese"
20625,"North Indian, Chinese"
20628,"Pizza, Fast Food"
20629,"Pizza, Fast Food"
20633,"Bakery, Fast Food, Desserts"
20636,"Bakery, Fast Food, Desserts"
20637,Chinese
20638,"Chinese, North Indian"
20640,"Biryani, Fast Food, North Indian, Chinese, Rolls"
20641,"Fast Food, North Indian"
20644,Bakery
20646,"Chinese, Tibetan, Street Food"
20647,"Chinese, North Indian, Momos"
20648,"Chinese, Fast Food"
20650,"Chinese, North Indian"
20652,Chinese
20653,"North Indian, Chinese, South Indian, Fast Food, Burger"
20655,"Chinese, North Indian"
20657,"Cafe, Continental, Fast Food, Desserts, Salad"
20658,"Chinese, North Indian"
20661,"Chinese, Thai, Momos"
20662,"Chinese, North Indian, South Indian"
20665,"Street Food, Rolls"
20670,"North Indian, Fast Food, Chinese"
20671,North Indian
20672,"North Indian, Chinese, Street Food, Rolls"
20673,"Chinese, Street Food"
20675,"North Indian, Chinese, Street Food, Fast Food"
20677,"Chinese, North Indian"
20678,"Bengali, Chinese"
20679,"North Indian, Mughlai"
20681,"Chinese, North Indian, Bengali, Mughlai, South Indian"
20682,"North Indian, Chinese, Mughlai"
20685,"Chinese, Tibetan"
20687,"Chinese, Mughlai, North Indian, Rolls"
20688,"Biryani, Chinese, Fast Food, Finger Food, North Indian, Rolls, Kashmiri, Kebab"
20691,Bengali
20692,"Chinese, North Indian, Thai"
20693,Chinese
20694,"North Indian, Chinese"
20698,"Chinese, Tibetan, Fast Food, Momos"
20700,"North Indian, Chinese, Continental"
20702,Bengali
20703,"Chinese, North Indian"
20705,"Chinese, North Indian"
20706,"Beverages, South Indian, Fast Food, Juices"
20708,"Chinese, North Indian, Seafood"
20709,"Chinese, Seafood"
20710,"North Indian, Mughlai, Chinese"
20712,"North Indian, Continental"
20717,"Chinese, North Indian"
20719,"Chinese, North Indian, Fast Food, Seafood"
20720,"Italian, Bakery, Desserts, Salad"
20721,Chinese
20722,"Chinese, North Indian"
20723,"Mithai, Street Food, Mishti"
20725,"North Indian, Biryani, Hyderabadi"
20727,"Fast Food, North Indian, South Indian, Street Food, Beverages"
20728,"Healthy Food, Salad, Fast Food"
20729,"Healthy Food, Salad, Fast Food"
20730,"Healthy Food, Salad, Fast Food"
20731,"Healthy Food, Salad, Fast Food"
20734,"Chinese, Thai"
20735,"Bengali, Healthy Food, Tibetan, North Indian, Chinese, Bangladeshi, Indian"
20737,"Burger, Fast Food"
20740,"North Indian, Fast Food"
20744,Chinese
20746,"Chinese, Tibetan"
20747,"Biryani, North Indian, Chinese, Mughlai"
20753,"Pizza, Italian"
20754,North Indian
20755,"Chinese, Bengali"
20756,Chinese
20759,"Chinese, Street Food, Mughlai"
20761,North Indian
